t,ap,f107_sfu
2003-10-27T00:00:00Z,22.0,257.2
2003-10-27T03:00:00Z,18.0,257.2
2003-10-27T06:00:00Z,18.0,257.2
2003-10-27T09:00:00Z,7.0,257.2
2003-10-27T12:00:00Z,7.0,257.2
2003-10-27T15:00:00Z,9.0,257.2
2003-10-27T18:00:00Z,5.0,257.2
2003-10-27T21:00:00Z,4.0,257.2
2003-10-28T00:00:00Z,15.0,274.4
2003-10-28T03:00:00Z,39.0,274.4
2003-10-28T06:00:00Z,22.0,274.4
2003-10-28T09:00:00Z,39.0,274.4
2003-10-28T12:00:00Z,12.0,274.4
2003-10-28T15:00:00Z,27.0,274.4
2003-10-28T18:00:00Z,18.0,274.4
2003-10-28T21:00:00Z,27.0,274.4
2003-10-29T00:00:00Z,39.0,291.7
2003-10-29T03:00:00Z,27.0,291.7
2003-10-29T06:00:00Z,400.0,291.7
2003-10-29T09:00:00Z,207.0,291.7
2003-10-29T12:00:00Z,179.0,291.7
2003-10-29T15:00:00Z,179.0,291.7
2003-10-29T18:00:00Z,300.0,291.7
2003-10-29T21:00:00Z,300.0,291.7
2003-10-30T00:00:00Z,300.0,271.4
2003-10-30T03:00:00Z,154.0,271.4
2003-10-30T06:00:00Z,56.0,271.4
2003-10-30T09:00:00Z,39.0,271.4
2003-10-30T12:00:00Z,48.0,271.4
2003-10-30T15:00:00Z,132.0,271.4
2003-10-30T18:00:00Z,400.0,271.4
2003-10-30T21:00:00Z,400.0,271.4
2003-10-31T00:00:00Z,236.0,248.9
2003-10-31T03:00:00Z,179.0,248.9
2003-10-31T06:00:00Z,154.0,248.9
2003-10-31T09:00:00Z,111.0,248.9
2003-10-31T12:00:00Z,154.0,248.9
2003-10-31T15:00:00Z,39.0,248.9
2003-10-31T18:00:00Z,27.0,248.9
2003-10-31T21:00:00Z,32.0,248.9
2003-11-01T00:00:00Z,48.0,210.4
2003-11-01T03:00:00Z,39.0,210.4
2003-11-01T06:00:00Z,27.0,210.4
2003-11-01T09:00:00Z,12.0,210.4
2003-11-01T12:00:00Z,15.0,210.4
2003-11-01T15:00:00Z,18.0,210.4
2003-11-01T18:00:00Z,18.0,210.4
2003-11-01T21:00:00Z,27.0,210.4
2003-11-02T00:00:00Z,18.0,190.4
2003-11-02T03:00:00Z,22.0,190.4
2003-11-02T06:00:00Z,18.0,190.4
2003-11-02T09:00:00Z,15.0,190.4
2003-11-02T12:00:00Z,12.0,190.4
2003-11-02T15:00:00Z,18.0,190.4
2003-11-02T18:00:00Z,32.0,190.4
2003-11-02T21:00:00Z,12.0,190.4
2003-11-03T00:00:00Z,18.0,166.9
2003-11-03T03:00:00Z,15.0,166.9
2003-11-03T06:00:00Z,12.0,166.9
2003-11-03T09:00:00Z,12.0,166.9
2003-11-03T12:00:00Z,7.0,166.9
2003-11-03T15:00:00Z,9.0,166.9
2003-11-03T18:00:00Z,12.0,166.9
2003-11-03T21:00:00Z,18.0,166.9
2003-11-04T00:00:00Z,15.0,560.9
2003-11-04T03:00:00Z,15.0,560.9
2003-11-04T06:00:00Z,94.0,560.9
2003-11-04T09:00:00Z,132.0,560.9
2003-11-04T12:00:00Z,12.0,560.9
2003-11-04T15:00:00Z,7.0,560.9
2003-11-04T18:00:00Z,18.0,560.9
2003-11-04T21:00:00Z,12.0,560.9
2003-11-05T00:00:00Z,6.0,114.0
2003-11-05T03:00:00Z,0.0,114.0
2003-11-05T06:00:00Z,5.0,114.0
2003-11-05T09:00:00Z,4.0,114.0
2003-11-05T12:00:00Z,3.0,114.0
2003-11-05T15:00:00Z,5.0,114.0
2003-11-05T18:00:00Z,9.0,114.0
2003-11-05T21:00:00Z,18.0,114.0
